         mode 1          mode 2
   2.068872e+00    3.404819e+00
   2.016523e+00    3.351202e+00
   1.965583e+00    3.298985e+00
   1.916095e+00    3.248210e+00
   1.868096e+00    3.198921e+00
   1.821626e+00    3.151159e+00
   1.776718e+00    3.104963e+00
   1.733407e+00    3.060372e+00
   1.691725e+00    3.017422e+00
   1.651702e+00    2.976148e+00
   1.613367e+00    2.936583e+00
   1.576747e+00    2.898757e+00
   1.541866e+00    2.862702e+00
   1.508748e+00    2.828445e+00
   1.477416e+00    2.796012e+00
   1.447888e+00    2.765428e+00
   1.420183e+00    2.736716e+00
   1.394320e+00    2.709897e+00
   1.370313e+00    2.684991e+00
   1.348176e+00    2.662015e+00
   1.327922e+00    2.640985e+00
   1.309563e+00    2.621917e+00
   1.293110e+00    2.604823e+00
   1.278571e+00    2.589714e+00
   1.265953e+00    2.576602e+00
   1.255265e+00    2.565493e+00
   1.246512e+00    2.556395e+00
   1.239698e+00    2.549314e+00
   1.234828e+00    2.544254e+00
   1.231905e+00    2.541217e+00
   1.230929e+00    2.540205e+00
   1.230929e+00    2.540205e+00
   1.231905e+00    2.541217e+00
   1.234828e+00    2.544254e+00
   1.239698e+00    2.549314e+00
   1.246512e+00    2.556395e+00
   1.255265e+00    2.565493e+00
   1.265953e+00    2.576602e+00
   1.278571e+00    2.589714e+00
   1.293110e+00    2.604823e+00
   1.309563e+00    2.621917e+00
   1.327922e+00    2.640985e+00
   1.348176e+00    2.662015e+00
   1.370313e+00    2.684991e+00
   1.394320e+00    2.709897e+00
   1.420183e+00    2.736716e+00
   1.447888e+00    2.765428e+00
   1.477416e+00    2.796012e+00
   1.508748e+00    2.828445e+00
   1.541866e+00    2.862702e+00
   1.576747e+00    2.898757e+00
   1.613367e+00    2.936583e+00
   1.651702e+00    2.976148e+00
   1.691725e+00    3.017422e+00
   1.733407e+00    3.060372e+00
   1.776718e+00    3.104963e+00
   1.821626e+00    3.151159e+00
   1.868096e+00    3.198921e+00
   1.916095e+00    3.248210e+00
   1.965583e+00    3.298985e+00
   2.016523e+00    3.351202e+00
   2.068872e+00    3.404819e+00
   2.122589e+00    3.459789e+00
   2.177630e+00    3.516066e+00
   2.233947e+00    3.573600e+00
   2.291494e+00    3.632341e+00
   2.350221e+00    3.692239e+00
   2.410077e+00    3.753242e+00
   2.471009e+00    3.815295e+00
   2.532964e+00    3.878343e+00
   2.595886e+00    3.942330e+00
   2.659718e+00    4.007200e+00
   2.724402e+00    4.072893e+00
   2.789877e+00    4.139350e+00
   2.856083e+00    4.206512e+00
   2.922958e+00    4.274315e+00
   2.990438e+00    4.342699e+00
   3.058459e+00    4.411600e+00
   3.126955e+00    4.480953e+00
   3.195860e+00    4.550694e+00
   3.265107e+00    4.620758e+00
   3.334627e+00    4.691077e+00
   3.404352e+00    4.761585e+00
   3.474212e+00    4.832215e+00
   3.544137e+00    4.902898e+00
   3.614057e+00    4.973565e+00
   3.683900e+00    5.044148e+00
   3.753596e+00    5.114578e+00
   3.823073e+00    5.184784e+00
   3.892260e+00    5.254696e+00
   3.961084e+00    5.324246e+00
   4.029475e+00    5.393362e+00
   4.097361e+00    5.461974e+00
   4.164671e+00    5.530012e+00
   4.231334e+00    5.597406e+00
   4.297280e+00    5.664087e+00
   4.362438e+00    5.729984e+00
   4.426740e+00    5.795029e+00
   4.490118e+00    5.859153e+00
   4.552502e+00    5.922288e+00
   4.613827e+00    5.984366e+00
   4.674026e+00    6.045321e+00
   4.733035e+00    6.105086e+00
   4.790790e+00    6.163596e+00
   4.847228e+00    6.220788e+00
   4.902288e+00    6.276597e+00
   4.955911e+00    6.330964e+00
   5.008037e+00    6.383825e+00
   5.058611e+00    6.435124e+00
   5.107576e+00    6.484801e+00
   5.154879e+00    6.532801e+00
   5.200470e+00    6.579068e+00
   5.244296e+00    6.623551e+00
   5.286311e+00    6.666197e+00
   5.326468e+00    6.706958e+00
   5.364723e+00    6.745787e+00
   5.401034e+00    6.782638e+00
   5.435361e+00    6.817469e+00
   5.467665e+00    6.850239e+00
   5.497912e+00    6.880908e+00
   5.526068e+00    6.909442e+00
   5.552101e+00    6.935806e+00
   5.575983e+00    6.959968e+00
   5.597688e+00    6.981902e+00
   5.617191e+00    7.001580e+00
   5.634470e+00    7.018978e+00
   5.649507e+00    7.034077e+00
   5.662285e+00    7.046858e+00
   5.672790e+00    7.057305e+00
   5.681009e+00    7.065407e+00
   5.686934e+00    7.071154e+00
   5.690558e+00    7.074538e+00
   5.691877e+00    7.075556e+00
   5.691877e+00    7.075556e+00
   5.692107e+00    7.075595e+00
   5.692786e+00    7.075729e+00
   5.693913e+00    7.075960e+00
   5.695488e+00    7.076285e+00
   5.697509e+00    7.076706e+00
   5.699975e+00    7.077220e+00
   5.702885e+00    7.077828e+00
   5.706237e+00    7.078528e+00
